Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6,effort_7,effort_8,effort_9,effort_10,effort_11,effort_12,effort_13,effort_14,effort_15
1646244223.488584,4796,1646244223,487664247,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08828818053007126,1.0001637935638428,-2.2479140758514404,-0.22175292670726776,0.9349274635314941,-2.15789794921875,0.03856021165847778,1.0295791625976562,-2.2397806644439697,-0.1641022264957428,0.9750468730926514,-2.1593730449676514,0.0,0.0,0.0,0.0,0.018887361511588097,0.1450892835855484,-0.13049450516700745,0.05494505167007446,-0.08842720091342926,0.019745878875255585,-0.06009615212678909,0.08842720091342926,-0.036916207522153854,0.13736262917518616,0.057520605623722076,-0.17342032492160797,0.0,0.0,0.0,0.0,-1.8828125,1.06640625,7.14453125,2.87890625,0.53125,5.046875,-3.515625,1.3125,9.1328125,3.234375,0.56640625,7.28515625,31.2,29.8,55.0,35.8
1646244223.4904566,4797,1646244223,489965861,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08841460198163986,1.0002479553222656,-2.2479140758514404,-0.22171078622341156,0.9347589015960693,-2.15789794921875,0.03851807117462158,1.02970552444458,-2.2397806644439697,-0.164144366979599,0.9749205112457275,-2.1593308448791504,0.0,0.0,0.0,0.0,0.09014422446489334,0.10559752583503723,-0.07039835304021835,0.06438872963190079,-0.0223214291036129,0.06009615585207939,-0.001717032864689827,0.09186126291751862,-0.09701236337423325,-0.0,-0.014594780281186104,-0.06009615585207939,0.0,0.0,0.0,0.0,-2.1328125,1.20703125,7.109375,3.08984375,0.42578125,4.8671875,-3.5546875,1.02734375,9.0625,3.3046875,0.6015625,7.14453125,31.0,29.8,55.0,35.6
1646244223.4927151,4798,1646244223,492225119,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08849889039993286,1.0002901554107666,-2.2478718757629395,-0.22171078622341156,0.9345059394836426,-2.15789794921875,0.03847593069076538,1.029831886291504,-2.2397806644439697,-0.1642286479473114,0.9748361110687256,-2.1593308448791504,0.0,0.0,0.0,0.0,-0.025755492970347404,0.01116071455180645,-0.030048077926039696,-0.09615384042263031,-0.19831730425357819,0.07898351550102234,-0.003434065729379654,0.0446428582072258,-0.12448488920927048,-0.16998624801635742,0.07640796899795532,-0.08585164695978165,0.0,0.0,0.0,0.0,-2.09375,1.27734375,7.14453125,3.16015625,0.53125,4.796875,-3.66015625,1.27734375,9.27734375,3.3046875,0.56640625,7.3203125,31.0,29.8,55.0,35.6
1646244223.4946713,4799,1646244223,494482999,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08862531930208206,1.0003743171691895,-2.2478718757629395,-0.22162650525569916,0.9342532157897949,-2.15789794921875,0.03847593069076538,1.0300004482269287,-2.2397384643554688,-0.1642286479473114,0.9746253490447998,-2.1593308448791504,0.0,0.0,0.0,0.0,-0.024038460105657578,0.08070054650306702,-0.0008585164905525744,0.003434065729379654,-0.09014423191547394,0.12620192766189575,0.0558035671710968,-0.058379121124744415,0.11504121124744415,-0.05837911739945412,-0.0669642835855484,-0.06438873708248138,0.0,0.0,0.0,0.0,-1.77734375,1.34765625,7.25,3.01953125,0.671875,4.796875,-3.6953125,1.34765625,9.2421875,3.19921875,0.7109375,7.14453125,31.0,29.8,55.0,35.6
1646244223.4968376,4800,1646244223,496622920,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08866745978593826,1.0003743171691895,-2.2478718757629395,-0.22162650525569916,0.934084415435791,-2.157940149307251,0.03843379020690918,1.0301268100738525,-2.2397806644439697,-0.1642286479473114,0.974498987197876,-2.1593308448791504,0.0,0.0,0.0,0.0,-0.12877745926380157,0.006009615492075682,0.01631181314587593,-0.06267169862985611,-0.1871565878391266,-0.14852334558963776,-0.0,0.00858516525477171,-0.09529533237218857,-0.0,-0.04635988920927048,-0.1493818759918213,0.0,0.0,0.0,0.0,-2.1328125,1.6328125,7.109375,3.33984375,0.49609375,5.1875,-3.66015625,1.3828125,9.3828125,3.08984375,0.56640625,7.25,30.8,30.0,55.2,35.4
1646244223.4989426,4801,1646244223,498753460,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08879388868808746,1.0003743171691895,-2.2478718757629395,-0.22158436477184296,0.9340002536773682,-2.15789794921875,0.03839164972305298,1.0302534103393555,-2.2397384643554688,-0.1642707884311676,0.9743726253509521,-2.1592888832092285,0.0,0.0,0.0,0.0,0.011160713620483875,-0.1382211595773697,-0.06095467135310173,-0.048076920211315155,0.03176511079072952,0.11675824224948883,-0.13221153616905212,0.13049450516700745,0.04893543943762779,-0.007726647891104221,-0.036916207522153854,0.025755494832992554,0.0,0.0,0.0,0.0,-2.05859375,1.3828125,7.109375,2.984375,0.49609375,4.7265625,-3.66015625,1.3828125,9.55859375,3.19921875,0.49609375,7.109375,30.6,30.0,55.4,35.4
1646244223.5012145,4802,1646244223,500960617,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08887816965579987,1.0004165172576904,-2.2478718757629395,-0.22150008380413055,0.9339580535888672,-2.15789794921875,0.03834950923919678,1.0303375720977783,-2.2397384643554688,-0.1642707884311676,0.9742040634155273,-2.1592888832092285,0.0,0.0,0.0,0.0,0.03605768829584122,-0.11332418024539948,-0.0008585164905525744,0.13564559817314148,0.047218408435583115,0.1270604431629181,-0.06353021413087845,0.018887363374233246,0.08241758495569229,0.15109889209270477,-0.11933378875255585,0.006009615492075682,0.0,0.0,0.0,0.0,-2.0234375,1.3828125,7.0703125,3.26953125,0.49609375,4.7265625,-3.625,1.27734375,9.16796875,3.08984375,0.4609375,7.46484375,30.4,30.0,55.6,35.4
1646244223.5033011,4803,1646244223,503086709,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08892031013965607,1.0005009174346924,-2.2478718757629395,-0.22145792841911316,0.9339580535888672,-2.157940149307251,0.03834950923919678,1.0304219722747803,-2.2397806644439697,-0.164312943816185,0.9740777015686035,-2.1592888832092285,0.0,0.0,0.0,0.0,0.003434065729379654,0.14337225258350372,-0.03434066101908684,0.03863323852419853,0.010302198119461536,-0.0008585164905525744,-0.0,0.014594780281186104,-0.09186126291751862,-0.0,0.03176511079072952,0.06009615585207939,0.0,0.0,0.0,0.0,-2.0234375,1.3828125,7.14453125,3.125,0.42578125,4.796875,-3.66015625,1.3828125,9.02734375,3.125,0.42578125,7.0703125,30.2,30.2,55.8,35.2
1646244223.505357,4804,1646244223,505212240,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08900459855794907,1.0005428791046143,-2.2478718757629395,-0.22137364745140076,0.9339580535888672,-2.157940149307251,0.038307368755340576,1.0304639339447021,-2.2397806644439697,-0.1643550843000412,0.9738247394561768,-2.1592888832092285,0.0,0.0,0.0,0.0,0.07554944604635239,0.13478708267211914,-0.026614010334014893,0.12877745926380157,0.0008585164905525744,-0.0,-0.0008585164323449135,-0.03777472674846649,-0.052369505167007446,-0.10130494087934494,-0.10388049483299255,0.0223214291036129,0.0,0.0,0.0,0.0,-1.91796875,1.52734375,7.1796875,3.08984375,0.31640625,4.58203125,-3.6953125,1.3125,9.02734375,3.19921875,0.31640625,7.25,30.0,30.4,56.0,35.0
1646244223.5075386,4805,1646244223,507339387,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08904673904180527,1.0005850791931152,-2.2478299140930176,-0.22133150696754456,0.9339580535888672,-2.157940149307251,0.038265228271484375,1.0305061340332031,-2.2397384643554688,-0.1643550843000412,0.973613977432251,-2.1592466831207275,0.0,0.0,0.0,0.0,-0.019745878875255585,-0.009443681687116623,0.07640796899795532,0.004292582161724567,0.024038461968302727,0.0008585164905525744,-0.01631181314587593,-0.024038461968302727,0.06953983753919601,0.05494505167007446,-0.05408653989434242,0.16826923191547394,0.0,0.0,0.0,0.0,-1.5625,1.52734375,7.1796875,3.4453125,0.74609375,4.76171875,-3.6953125,1.34765625,9.16796875,3.125,0.49609375,7.21484375,30.0,30.4,56.0,35.0
1646244223.5097508,4806,1646244223,509465760,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08917316794395447,1.000711441040039,-2.2478299140930176,-0.22124722599983215,0.9338738918304443,-2.157940149307251,0.038223087787628174,1.030590534210205,-2.2397806644439697,-0.1643972247838974,0.9732346534729004,-2.1592888832092285,0.0,0.0,0.0,0.0,0.12791894376277924,0.009443681687116623,0.0008585164905525744,0.0008585164323449135,-0.13478708267211914,0.004292582627385855,-0.07211537659168243,0.03176511079072952,-0.08756868541240692,0.03519917279481888,-0.07640796899795532,-0.08585164695978165,0.0,0.0,0.0,0.0,-1.98828125,1.421875,7.109375,3.375,0.390625,4.76171875,-3.765625,1.5625,9.27734375,3.08984375,0.49609375,7.21484375,30.0,30.4,56.0,35.0
1646244223.5118942,4807,1646244223,511653896,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08921530842781067,1.000838041305542,-2.2478299140930176,-0.22120508551597595,0.9338316917419434,-2.157982349395752,0.03818094730377197,1.030632495880127,-2.2397384643554688,-0.1643972247838974,0.9729819297790527,-2.1592888832092285,0.0,0.0,0.0,0.0,-0.03434065729379654,0.136504128575325,0.06524725258350372,-0.01631181314587593,-0.03176511079072952,-0.06009615585207939,-0.04550136998295784,0.01631181314587593,0.0334821417927742,0.12190933525562286,-0.16140109300613403,-0.13993819057941437,0.0,0.0,0.0,0.0,-1.8828125,1.27734375,7.0,3.125,0.35546875,4.51171875,-3.33984375,1.421875,9.34765625,3.125,0.56640625,7.28515625,30.0,30.4,56.0,35.0
1646244223.5140417,4808,1646244223,513899309,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08934173732995987,1.0008800029754639,-2.2478299140930176,-0.22112078964710236,0.9337472915649414,-2.157940149307251,0.03813880681991577,1.030632495880127,-2.2397384643554688,-0.1644815057516098,0.9728133678436279,-2.1592466831207275,0.0,0.0,0.0,0.0,0.08499312400817871,0.026614010334014893,-0.018887363374233246,0.11246564984321594,-0.024038461968302727,0.09958790987730026,-0.06438872963190079,0.0,0.0017170329811051488,-0.08842719346284866,-0.17342032492160797,-0.03262362629175186,0.0,0.0,0.0,0.0,-1.73828125,1.45703125,7.109375,2.984375,0.6015625,4.65625,-3.625,1.34765625,9.0625,3.01953125,0.56640625,7.14453125,30.2,30.4,56.0,35.0
1646244223.5162015,4809,1646244223,516027587,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08942601829767227,1.0009222030639648,-2.2478299140930176,-0.22107864916324615,0.9336631298065186,-2.157982349395752,0.03809666633605957,1.030674695968628,-2.2397384643554688,-0.1644815057516098,0.9726870059967041,-2.1592044830322266,0.0,0.0,0.0,0.0,0.006009615026414394,0.02146291173994541,0.002575549529865384,0.10216345638036728,0.052369505167007446,-0.06353022158145905,0.0781249925494194,0.004292582627385855,0.024038461968302727,-0.025755492970347404,0.01116071455180645,0.14337225258350372,0.0,0.0,0.0,0.0,-1.77734375,1.73828125,7.21484375,3.48046875,0.49609375,4.796875,-3.80078125,1.5625,9.1328125,3.19921875,0.88671875,7.14453125,30.2,30.2,56.0,35.0
1646244223.5183058,4810,1646244223,518170577,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08955244719982147,1.0009644031524658,-2.2477877140045166,-0.22107864916324615,0.9335367679595947,-2.157982349395752,0.03805452585220337,1.030674695968628,-2.2397806644439697,-0.1644815057516098,0.9725604057312012,-2.1592044830322266,0.0,0.0,0.0,0.0,0.010302197188138962,0.042067307978868484,0.10903159528970718,0.04120878875255585,-0.025755494832992554,-0.019745878875255585,0.02918955869972706,-0.019745878875255585,0.01373626384884119,-0.009443680755794048,0.0334821417927742,0.01631181314587593,0.0,0.0,0.0,0.0,-2.0234375,1.4921875,7.25,3.3046875,0.390625,4.69140625,-3.765625,1.27734375,9.2421875,2.984375,0.35546875,7.35546875,30.2,30.4,56.0,35.0
1646244223.5205827,4811,1646244223,520289023,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08967887610197067,1.0010066032409668,-2.2477877140045166,-0.22107864916324615,0.9334101676940918,-2.157982349395752,0.03801238536834717,1.0307590961456299,-2.2397384643554688,-0.1644815057516098,0.9725184440612793,-2.1592044830322266,0.0,0.0,0.0,0.0,-0.03262362629175186,0.012877747416496277,0.04035027325153351,0.0,-0.08070054650306702,-0.0,0.012019230052828789,0.16912774741649628,0.030906593427062035,0.04979395121335983,-0.0,0.002575549529865384,0.0,0.0,0.0,0.0,-1.84765625,1.703125,7.1796875,3.33984375,0.390625,4.69140625,-3.58984375,1.421875,9.3125,3.0546875,0.6015625,7.109375,30.2,30.6,56.0,35.0
1646244223.560501,4812,1646244223,522434853,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.08997387439012527,1.0010488033294678,-2.2477877140045166,-0.22107864916324615,0.9331996440887451,-2.157982349395752,0.03797024488449097,1.030716896057129,-2.2397384643554688,-0.1644815057516098,0.9724762439727783,-2.1592044830322266,0.0,0.0,0.0,0.0,0.18458102643489838,0.01631181314587593,0.002575549529865384,-0.09872938692569733,-0.09872939437627792,-0.0,0.024896975606679916,-0.04635988920927048,0.0,0.09100273996591568,-0.07554945349693298,-0.030906593427062035,0.0,0.0,0.0,0.0,-1.953125,1.34765625,7.28515625,3.375,0.390625,4.69140625,-3.58984375,1.421875,9.1328125,3.125,0.6015625,7.35546875,30.2,30.8,56.0,35.0
1646244223.5605159,4813,1646244223,524576503,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.09010029584169388,1.0010488033294678,-2.2477877140045166,-0.22103650867938995,0.9331152439117432,-2.157982349395752,0.03797024488449097,1.0307590961456299,-2.2397806644439697,-0.1644815057516098,0.9724762439727783,-2.1591200828552246,0.0,0.0,0.0,0.0,0.12190933525562286,0.012877747416496277,0.007726648356765509,0.019745878875255585,-0.01116071455180645,-0.0,0.10731455683708191,0.10989011079072952,-0.13221153616905212,0.048935435712337494,-0.004292582627385855,0.1940247267484665,0.0,0.0,0.0,0.0,-1.66796875,1.59765625,6.96484375,3.33984375,0.49609375,4.7265625,-3.73046875,1.52734375,9.41796875,3.375,0.53125,7.25,30.0,31.0,56.0,34.8
